SOLAR_IRR_TOTAL
63326
62767
63279
62989
63260
64838
63121
63772
63089
63010
63319
62847
63959
63029
63285
63707
63972
64046
63833
63420
63200
64100
62913
63451
63897
63950
63793
62608
63117
63753
62725
63840
64163
63636
63693
63675
63645
64164
62920
64406
63523
63773
63138
64106
63444
63492
63374
63163
63039
63666
63665
63716
63742
63223
62809
62495
63212
62992
63112
63530
62897
63766
63835
63394
62725
62766
63598
63530
63827
62844
63437
62514
63968
63351
63748
63764
63581
63506
63493
63901
62558
63727
63625
64114
63118
63168
63900
63787
63711
64424
64374
63507
64131
63255
63581
63323
62997
64082
64114
63569
63110
63234
64281
63442
62344
63361
63288
63785
64114
63282
63546
62904
64115
63696
63549
63364
63075
63352
63481
63674
63672
63776
62283
64494
63488
63473
63509
63837
63152
63893
64036
63483
62952
63715
63124
63109
63343
63072
63575
63652
62909
63492
63603
63722
63786
63926
64519
63479
64121
63634
63703
63296
64741
62830
64341
63657
63406
64204
64483
63847
63987
63814
63543
64681
63730
64412
64339
63363
63587
63042
63733
63996
64270
63527
63000
63327
63029
63357
63796
63873
62844
63016
63817
64187
63744
63886
64060
63616
63654
63336
63698
62846
63733
63444
63243
63353
63529
63053
64687
63452
63188
64221
64386
62395
63270
63078
63120
62637
63546
63097
64442
62932
63486
63548
62510
63139
63818
62974
63432
64119
63141
63056
63566
63376
63698
63353
64470
63082
63389
64128
63459
63686
63730
63487
64453
63862
64781
64098
64665
63276
63892
63642
62959
64207
63141
63123
63088
63383
64537
63015
63816
62998
63882
63069
63429
64053
63435
63570
63357
63421
62550
62557
63764
63727
62518
63204
63673
62872
63334
64474
63718
63626
63433
63982
63067
63657
63052
62950
63196
63568
63091
63959
63901
63030
63663
63920
63650
63058
63953
63484
63647
62990
63169
63802
63955
63983
63553
63610
64207
63671
63033
63186
63337
63514
64124
63136
63537
64712
63970
63697
63384
62808
63177
63660
63069
64430
63054
63851
62442
63380
63183
63416
63660
63352
64142
64052
63201
62999
63132
62838
63252
63775
63499
63242
63265
62633
62743
63036
64226
63301
63010
62958
63224
64005
63052
63502
63813
64387
63645
64457
63160
63658
62804
63236
63341
63074
63050
63540
63386
64040
63505
63205
64556
63515
63396
64845
62943
63245
64264
63810
63391
63574
64681
63658
62868
63003
63757
63996
64115
64046
62979
63733
63578
63695
64739
63001
63936
63958
63327
63506
63090
63668
63483
64535
62857
63238
63196
63734
63395
63204
64094
63098
63490
63736
64513
63304
63426
64490
62976
63324
62973
63437
63610
62848
63520
64239
63960
63508
63421
63753
64471
64406
63331
63027
63112
62889
62576
63613
64008
63076
63527
63798
62796
63714
62259
62265
63846
63538
64548
63342
63248
63018
64046
63954
64759
64340
63665
63235
62525
64951
62722
62691
63079
63361
62844
64218
63798
63065
63827
63268
63078
64624
64248
63001
63246
63110
63488
63433
62933
63690
63209
63806
63712
63639
62891
62786
63589
62763
64635
62979
63876
63640
64086
63200
63968
63176
62417
62979
63290
